חותמת זמן,האם את/ה נוטל/ת כדור לקשב וריכוז? ,האם את/ה עובד/ת במקביל ללימודים?,האם את/ה מרגיש/ה שהציונים שלך השתנו לטובה בעקבות הלמידה מרחוק?,האם חווית בעיות תקשורת באינטרנט במהלך הלמידה מרחוק שהשפיעו על הצפייה?,האם צפיתם בהקלטות במהלך הסמסטר?,האם את/ה חושב/ת שההקלטות יעילות?,האם את/ה לומדים בקבוצות?,האם יש לך אזור שקט ללמוד בו בבית?,האם יש לך תחביבים שאת/ה נוהגים לתחזק בזמן הפנוי?,האם את/ה נוהגים להיכנס לרשתות החברתיות במהלך השיעור מרחוק?
8/24/2022 17:22:32,לא,כן,כן,2,כן,כן,כן,לא,כן,במידה רבה
8/24/2022 17:23:00,לא,כן,כן,1,לא,לא,כן,כן,אין תחביבים,במידה מועטה
8/24/2022 17:31:27,לא,לא,לא,4,כן,כן,כן,לא,כן,במידה מועטה
8/24/2022 17:33:04,לא,לא,לא,2,כן,כן,לא,כן,כן,במידה מועטה
8/24/2022 17:46:24,כן,כן,כן,3,כן,כן,כן,כן,כן,במידה מועטה
8/24/2022 17:46:50,כן,כן,כן,2,כן,כן,כן,כן,כן,כלל לא
8/24/2022 17:57:41,כן,כן,לא,1,כן,כן,כן,כן,כן,במידה מועטה
8/24/2022 18:49:26,לא,לא,לא,1,כן,כן,כן,כן,כן,במידה רבה
8/24/2022 21:27:21,כן,לא,כן,4,כן,כן,כן,כן,לא,במידה רבה
8/25/2022 14:28:59,לא,לא,כן,2,כן,כן,כן,לא,כן,במידה רבה
8/28/2022 12:35:43,לא,לא,כן,2,כן,כן,לא,כן,כן,כלל לא
